date,forecasted_quantity,Residuals,final_forecast
2022-12-01,14804.52148663717,0.05327425169602268,14804.574760888865
2023-01-01,16727.563298483517,0.06289539600193746,16727.626193879518
2023-02-01,15915.60511032986,0.07251654030450376,15915.677626870163
2023-03-01,16552.646922176187,0.08213768460204733,16552.72905986079
2023-04-01,15415.688734022511,0.09175882889624243,15415.780492851407
2023-05-01,15870.063879202158,-0.20542763197536335,15869.858451570182
2023-06-01,15669.439024381789,-0.042402685113754515,15669.396621696675
2023-07-01,16243.81416956141,0.12062226174701719,16243.934791823158
2023-08-01,16239.189314741032,-0.17656419913714538,16239.012750541895
2023-09-01,15861.897793253975,0.13986455029773703,15862.037657804272
2023-10-01,16505.939605100237,0.14948569456347005,16506.0890907948
2023-11-01,17558.314750279827,-0.14770076633408644,17558.167049513493
